,title,url,duration,add_date
72,The HU - The Great Chinggis Khaan (Official Music Video),https://www.youtube.com/watch?v=pD1gDSao1eA,00:05:07,2023-03-17 15:18:00.950645
73,The Night They Drove Old Dixie Down,https://www.youtube.com/watch?v=wanJQC5KAfo,,
74,The Promised Neverland OST - Isabella’s Lullaby,https://www.youtube.com/watch?v=rTJjtSP-ORc&pp=ygURbHVsbGFieSBuZXZlcmxhbmQ%3D,00:05:23,2023-03-21 13:27:49.284064
75,The Way of the Househusband ED / Ending Kiwami”meoto kaido,https://www.youtube.com/watch?v=nC0DdnPeDmc&pp=ygUed2F5IG9mIHRoZSBob3VzZWh1c2JhbmQgZW5kaW5n,00:03:07,2023-03-09 17:30:05.930787
76,The Way of the Househusband OP / Opening Shufu no michi,https://www.youtube.com/watch?v=pUTxmAPQ2QQ,00:03:05,2023-03-09 17:25:48.880296
77,Torches / Aimer [English subtitle] (Anime Vinland Saga Ending/ED),https://www.youtube.com/watch?v=GEt_poMSw_U,,
78,Unser liebe Fraue [Landsknecht song][+English translation],https://www.youtube.com/watch?v=3H_mNXda4rE,,
79,Utopia,https://www.youtube.com/watch?v=kSxnMgw9l-E,00:03:40,
80,VINLAND SAGA OST - Somewhere Else (Edited Ver.),https://www.youtube.com/watch?v=zuNyi9YAtzg,00:05:34,2023-03-28 17:48:15.320508
81,"Várj, míg felkel majd a nap",https://www.youtube.com/watch?v=qPYGPdMkPTo,,
82,Warren Zevon- Roland the Headless Thompson Gunner (cover by Lauren O'Connell),https://www.youtube.com/watch?v=eZUQ2FdwIyY,,
83,Wolfenstein: The New Order (Soundtrack)- Wilbert Eckart & Volksmusik Stars - House of the Rising Sun,https://www.youtube.com/watch?v=x_artPecEaM,,
84,Yi Jian Mei (xue hua piao piao bei feng xiao xiao),https://www.youtube.com/watch?v=W8x4m-qpmJ8,00:03:55,2023-03-31 14:14:57.759344
